methd,query_idx,size,tau,payload_size,correct
WNG+COS,13,3,0.0,5223,1
COS,13,6,0.0,6971,1
WNG,13,6,0.0,6971,1
CNT,13,6,0.0,6971,1
WNG+COS,13,6,0.0,6971,1
COS,13,9,0.0,7779,1
WNG,13,9,0.0,7779,1
CNT,13,9,0.0,7779,1
WNG+COS,13,9,0.0,7779,1
COS,14,3,0.0,5523,1
WNG,14,3,0.0,5523,1
CNT,14,3,0.0,5523,1
WNG+COS,14,3,0.0,5523,1
COS,14,6,0.0,7563,1
WNG,14,6,0.0,7563,1
CNT,14,6,0.0,7563,1
WNG+COS,14,6,0.0,7563,1
COS,14,9,0.0,7518,1
WNG,14,9,0.0,7518,1
CNT,14,9,0.0,7518,1
WNG+COS,14,9,0.0,7518,1
COS,15,3,0.0,4274,1
WNG,15,3,0.0,4274,1
CNT,15,3,0.0,4274,1
WNG+COS,15,3,0.0,4274,1
COS,15,6,0.0,7646,1
WNG,15,6,0.0,7646,1
CNT,15,6,0.0,7646,1
WNG+COS,15,6,0.0,7646,1
COS,15,9,0.0,7728,1
WNG,15,9,0.0,7728,1
CNT,15,9,0.0,7728,1
WNG+COS,15,9,0.0,7728,1
COS,16,3,0.0,6504,1
WNG,16,3,0.0,6504,1
CNT,16,3,0.0,6504,1
WNG+COS,16,3,0.0,6504,1
COS,16,6,0.0,7678,1
WNG,16,6,0.0,7678,1
CNT,16,6,0.0,7678,1
WNG+COS,16,6,0.0,7678,1
COS,16,9,0.0,7864,1
WNG,16,9,0.0,7864,1
CNT,16,9,0.0,7864,1
WNG+COS,16,9,0.0,7864,1
COS,17,3,0.0,7504,1
WNG,17,3,0.0,7504,1
CNT,17,3,0.0,7504,1
WNG+COS,17,3,0.0,7504,1
COS,17,6,0.0,7281,1
WNG,17,6,0.0,7281,1
CNT,17,6,0.0,7281,1
WNG+COS,17,6,0.0,7281,1
COS,17,9,0.0,7746,1
WNG,17,9,0.0,7746,1
CNT,17,9,0.0,7746,1
WNG+COS,17,9,0.0,7746,1
COS,18,3,0.0,6577,1
WNG,18,3,0.0,6577,1
CNT,18,3,0.0,6577,1
WNG+COS,18,3,0.0,6577,1
COS,18,6,0.0,7770,1
WNG,18,6,0.0,7770,1
CNT,18,6,0.0,7770,1
