methd,query_idx,size,tau,payload_size,correct
CNT,20,3,7.0,23,1
WNG+COS,20,3,7.0,23,1
COS,20,6,7.0,83,1
WNG,20,6,7.0,83,1
CNT,20,6,7.0,83,1
WNG+COS,20,6,7.0,83,1
COS,20,9,7.0,128,1
WNG,20,9,7.0,128,1
CNT,20,9,7.0,128,1
WNG+COS,20,9,7.0,128,1
COS,21,3,7.0,68,1
WNG,21,3,7.0,68,1
CNT,21,3,7.0,68,1
WNG+COS,21,3,7.0,68,1
COS,21,6,7.0,74,1
WNG,21,6,7.0,74,1
CNT,21,6,7.0,74,1
WNG+COS,21,6,7.0,74,1
COS,21,9,7.0,192,1
WNG,21,9,7.0,192,1
CNT,21,9,7.0,192,1
WNG+COS,21,9,7.0,192,1
COS,22,3,7.0,30,1
WNG,22,3,7.0,30,1
CNT,22,3,7.0,30,1
WNG+COS,22,3,7.0,30,1
COS,22,6,7.0,121,1
WNG,22,6,7.0,121,1
CNT,22,6,7.0,121,1
WNG+COS,22,6,7.0,121,1
COS,22,9,7.0,192,1
WNG,22,9,7.0,192,1
CNT,22,9,7.0,192,1
WNG+COS,22,9,7.0,192,1
COS,23,3,7.0,50,1
WNG,23,3,7.0,50,1
CNT,23,3,7.0,50,1
WNG+COS,23,3,7.0,50,1
COS,23,6,7.0,127,1
WNG,23,6,7.0,127,1
CNT,23,6,7.0,127,1
WNG+COS,23,6,7.0,127,1
COS,23,9,7.0,153,1
WNG,23,9,7.0,153,1
CNT,23,9,7.0,153,1
WNG+COS,23,9,7.0,153,1
COS,24,3,7.0,45,1
WNG,24,3,7.0,45,1
CNT,24,3,7.0,45,1
WNG+COS,24,3,7.0,45,1
COS,24,6,7.0,99,1
WNG,24,6,7.0,99,1
CNT,24,6,7.0,99,1
WNG+COS,24,6,7.0,99,1
COS,24,9,7.0,304,1
WNG,24,9,7.0,304,1
CNT,24,9,7.0,304,1
WNG+COS,24,9,7.0,304,1
COS,25,3,7.0,46,1
WNG,25,3,7.0,46,1
CNT,25,3,7.0,46,1
WNG+COS,25,3,7.0,46,1
COS,25,6,7.0,111,1
WNG,25,6,7.0,111,1
CNT,25,6,7.0,111,1
WNG+COS,25,6,7.0,111,1
COS,25,9,7.0,182,1
WNG,25,9,7.0,182,1
CNT,25,9,7.0,182,1
WNG+COS,25,9,7.0,182,1
COS,26,3,7.0,39,1
WNG,26,3,7.0,39,1
CNT,26,3,7.0,39,1
WNG+COS,26,3,7.0,39,1
COS,26,6,7.0,68,1
WNG,26,6,7.0,68,1
CNT,26,6,7.0,68,1
WNG+COS,26,6,7.0,68,1
COS,26,9,7.0,159,1
WNG,26,9,7.0,159,1
CNT,26,9,7.0,159,1
WNG+COS,26,9,7.0,159,1
COS,27,3,7.0,53,1
WNG,27,3,7.0,53,1
CNT,27,3,7.0,53,1
WNG+COS,27,3,7.0,53,1
COS,27,6,7.0,14,1
WNG,27,6,7.0,14,1
CNT,27,6,7.0,14,1
WNG+COS,27,6,7.0,14,1
COS,27,9,7.0,113,1
WNG,27,9,7.0,113,1
CNT,27,9,7.0,113,1
WNG+COS,27,9,7.0,113,1
COS,28,3,7.0,40,1
WNG,28,3,7.0,40,1
CNT,28,3,7.0,40,1
WNG+COS,28,3,7.0,40,1
COS,28,6,7.0,55,1
WNG,28,6,7.0,55,1
CNT,28,6,7.0,55,1
WNG+COS,28,6,7.0,55,1
COS,28,9,7.0,139,1
WNG,28,9,7.0,139,1
CNT,28,9,7.0,139,1
WNG+COS,28,9,7.0,139,1
COS,29,3,7.0,17,1
WNG,29,3,7.0,17,1
CNT,29,3,7.0,17,1
WNG+COS,29,3,7.0,17,1
COS,29,6,7.0,123,1
WNG,29,6,7.0,123,1
CNT,29,6,7.0,123,1
WNG+COS,29,6,7.0,123,1
COS,29,9,7.0,177,1
WNG,29,9,7.0,177,1
CNT,29,9,7.0,177,1
WNG+COS,29,9,7.0,177,1
COS,30,3,7.0,38,1
WNG,30,3,7.0,38,1
CNT,30,3,7.0,38,1
WNG+COS,30,3,7.0,38,1
COS,30,6,7.0,59,1
WNG,30,6,7.0,59,1
CNT,30,6,7.0,59,1
WNG+COS,30,6,7.0,59,1
COS,30,9,7.0,78,1
WNG,30,9,7.0,78,1
CNT,30,9,7.0,78,1
WNG+COS,30,9,7.0,78,1
COS,31,3,7.0,31,1
WNG,31,3,7.0,31,1
CNT,31,3,7.0,31,1
WNG+COS,31,3,7.0,31,1
COS,31,6,7.0,82,1
WNG,31,6,7.0,82,1
CNT,31,6,7.0,82,1
WNG+COS,31,6,7.0,82,1
COS,31,9,7.0,189,1
WNG,31,9,7.0,189,1
CNT,31,9,7.0,189,1
WNG+COS,31,9,7.0,189,1
COS,32,3,7.0,7,1
WNG,32,3,7.0,7,1
CNT,32,3,7.0,7,1
WNG+COS,32,3,7.0,7,1
COS,32,6,7.0,58,1
WNG,32,6,7.0,58,1
CNT,32,6,7.0,58,1
WNG+COS,32,6,7.0,58,1
COS,32,9,7.0,130,1
WNG,32,9,7.0,130,1
CNT,32,9,7.0,130,1
WNG+COS,32,9,7.0,130,1
COS,33,3,7.0,13,1
WNG,33,3,7.0,13,1
CNT,33,3,7.0,13,1
WNG+COS,33,3,7.0,13,1
COS,33,6,7.0,105,1
WNG,33,6,7.0,105,1
CNT,33,6,7.0,105,1
WNG+COS,33,6,7.0,105,1
COS,33,9,7.0,167,1
WNG,33,9,7.0,167,1
CNT,33,9,7.0,167,1
WNG+COS,33,9,7.0,167,1
COS,34,3,7.0,36,1
WNG,34,3,7.0,36,1
CNT,34,3,7.0,36,1
WNG+COS,34,3,7.0,36,1
COS,34,6,7.0,127,1
WNG,34,6,7.0,127,1
CNT,34,6,7.0,127,1
WNG+COS,34,6,7.0,127,1
COS,34,9,7.0,185,1
WNG,34,9,7.0,185,1
CNT,34,9,7.0,185,1
WNG+COS,34,9,7.0,185,1
COS,35,3,7.0,36,1
WNG,35,3,7.0,36,1
CNT,35,3,7.0,36,1
WNG+COS,35,3,7.0,36,1
COS,35,6,7.0,88,1
WNG,35,6,7.0,88,1
CNT,35,6,7.0,88,1
WNG+COS,35,6,7.0,88,1
COS,35,9,7.0,72,1
WNG,35,9,7.0,72,1
CNT,35,9,7.0,72,1
WNG+COS,35,9,7.0,72,1
COS,36,3,7.0,24,1
WNG,36,3,7.0,24,1
CNT,36,3,7.0,24,1
WNG+COS,36,3,7.0,24,1
COS,36,6,7.0,54,1
WNG,36,6,7.0,54,1
CNT,36,6,7.0,54,1
WNG+COS,36,6,7.0,54,1
COS,36,9,7.0,224,1
WNG,36,9,7.0,224,1
CNT,36,9,7.0,224,1
WNG+COS,36,9,7.0,224,1
COS,37,3,7.0,50,1
WNG,37,3,7.0,50,1
CNT,37,3,7.0,50,1
WNG+COS,37,3,7.0,50,1
COS,37,6,7.0,74,1
WNG,37,6,7.0,74,1
CNT,37,6,7.0,74,1
WNG+COS,37,6,7.0,74,1
COS,37,9,7.0,124,1
WNG,37,9,7.0,124,1
CNT,37,9,7.0,124,1
WNG+COS,37,9,7.0,124,1
COS,38,3,7.0,52,1
WNG,38,3,7.0,52,1
CNT,38,3,7.0,52,1
WNG+COS,38,3,7.0,52,1
COS,38,6,7.0,137,1
WNG,38,6,7.0,137,1
CNT,38,6,7.0,137,1
WNG+COS,38,6,7.0,137,1
COS,38,9,7.0,73,1
WNG,38,9,7.0,73,1
CNT,38,9,7.0,73,1
WNG+COS,38,9,7.0,73,1
COS,39,3,7.0,44,1
WNG,39,3,7.0,44,1
CNT,39,3,7.0,44,1
WNG+COS,39,3,7.0,44,1
COS,39,6,7.0,244,1
WNG,39,6,7.0,244,1
CNT,39,6,7.0,244,1
WNG+COS,39,6,7.0,244,1
COS,39,9,7.0,329,1
WNG,39,9,7.0,329,1
CNT,39,9,7.0,329,1
WNG+COS,39,9,7.0,329,1
