methd,query_idx,size,tau,payload_size,correct
COS,0,3,7.0,66,1
WNG,0,3,7.0,66,1
CNT,0,3,7.0,66,1
WNG+COS,0,3,7.0,66,1
COS,0,6,7.0,132,1
WNG,0,6,7.0,132,1
CNT,0,6,7.0,132,1
WNG+COS,0,6,7.0,132,1
COS,0,9,7.0,159,1
WNG,0,9,7.0,159,1
CNT,0,9,7.0,159,1
WNG+COS,0,9,7.0,159,1
COS,1,3,7.0,68,1
WNG,1,3,7.0,68,1
CNT,1,3,7.0,68,1
WNG+COS,1,3,7.0,68,1
COS,1,6,7.0,94,1
WNG,1,6,7.0,94,1
CNT,1,6,7.0,94,1
WNG+COS,1,6,7.0,94,1
COS,1,9,7.0,167,1
WNG,1,9,7.0,167,1
CNT,1,9,7.0,167,1
WNG+COS,1,9,7.0,167,1
COS,2,3,7.0,46,1
WNG,2,3,7.0,46,1
CNT,2,3,7.0,46,1
WNG+COS,2,3,7.0,46,1
COS,2,6,7.0,100,1
WNG,2,6,7.0,100,1
CNT,2,6,7.0,100,1
WNG+COS,2,6,7.0,100,1
COS,2,9,7.0,181,1
WNG,2,9,7.0,181,1
CNT,2,9,7.0,181,1
WNG+COS,2,9,7.0,181,1
COS,3,3,7.0,238,1
WNG,3,3,7.0,238,1
CNT,3,3,7.0,238,1
WNG+COS,3,3,7.0,238,1
COS,3,6,7.0,90,1
WNG,3,6,7.0,90,1
CNT,3,6,7.0,90,1
WNG+COS,3,6,7.0,90,1
COS,3,9,7.0,125,1
WNG,3,9,7.0,125,1
CNT,3,9,7.0,125,1
WNG+COS,3,9,7.0,125,1
COS,4,3,7.0,57,1
WNG,4,3,7.0,57,1
CNT,4,3,7.0,57,1
WNG+COS,4,3,7.0,57,1
COS,4,6,7.0,114,1
WNG,4,6,7.0,114,1
CNT,4,6,7.0,114,1
WNG+COS,4,6,7.0,114,1
COS,4,9,7.0,148,1
WNG,4,9,7.0,148,1
CNT,4,9,7.0,148,1
WNG+COS,4,9,7.0,148,1
COS,5,3,7.0,45,1
WNG,5,3,7.0,45,1
CNT,5,3,7.0,45,1
WNG+COS,5,3,7.0,45,1
COS,5,6,7.0,81,1
WNG,5,6,7.0,81,1
CNT,5,6,7.0,81,1
WNG+COS,5,6,7.0,81,1
COS,5,9,7.0,154,1
WNG,5,9,7.0,154,1
CNT,5,9,7.0,154,1
WNG+COS,5,9,7.0,154,1
COS,6,3,7.0,28,1
WNG,6,3,7.0,28,1
CNT,6,3,7.0,28,1
WNG+COS,6,3,7.0,28,1
COS,6,6,7.0,53,1
WNG,6,6,7.0,53,1
CNT,6,6,7.0,53,1
WNG+COS,6,6,7.0,53,1
COS,6,9,7.0,159,1
WNG,6,9,7.0,159,1
CNT,6,9,7.0,159,1
WNG+COS,6,9,7.0,159,1
COS,7,3,7.0,53,1
WNG,7,3,7.0,53,1
CNT,7,3,7.0,53,1
WNG+COS,7,3,7.0,53,1
COS,7,6,7.0,28,1
WNG,7,6,7.0,28,1
CNT,7,6,7.0,28,1
WNG+COS,7,6,7.0,28,1
COS,7,9,7.0,158,1
WNG,7,9,7.0,158,1
CNT,7,9,7.0,158,1
WNG+COS,7,9,7.0,158,1
WNG,8,3,7.0,158,0
CNT,8,3,7.0,158,0
COS,8,3,7.0,158,0
WNG+COS,8,3,7.0,158,0
COS,8,6,7.0,82,1
WNG,8,6,7.0,82,1
CNT,8,6,7.0,82,1
WNG+COS,8,6,7.0,82,1
COS,8,9,7.0,108,1
WNG,8,9,7.0,108,1
CNT,8,9,7.0,108,1
WNG+COS,8,9,7.0,108,1
COS,9,3,7.0,56,1
WNG,9,3,7.0,56,1
CNT,9,3,7.0,56,1
WNG+COS,9,3,7.0,56,1
COS,9,6,7.0,81,1
WNG,9,6,7.0,81,1
CNT,9,6,7.0,81,1
WNG+COS,9,6,7.0,81,1
COS,9,9,7.0,121,1
WNG,9,9,7.0,121,1
CNT,9,9,7.0,121,1
WNG+COS,9,9,7.0,121,1
COS,10,3,7.0,50,1
WNG,10,3,7.0,50,1
CNT,10,3,7.0,50,1
WNG+COS,10,3,7.0,50,1
COS,10,6,7.0,2,0
WNG,10,6,7.0,2,0
CNT,10,6,7.0,2,0
WNG+COS,10,6,7.0,2,0
COS,10,9,7.0,108,1
WNG,10,9,7.0,108,1
CNT,10,9,7.0,108,1
WNG+COS,10,9,7.0,108,1
COS,11,3,7.0,34,1
WNG,11,3,7.0,34,1
CNT,11,3,7.0,34,1
WNG+COS,11,3,7.0,34,1
COS,11,6,7.0,129,1
WNG,11,6,7.0,129,1
CNT,11,6,7.0,129,1
WNG+COS,11,6,7.0,129,1
COS,11,9,7.0,117,1
WNG,11,9,7.0,117,1
CNT,11,9,7.0,117,1
WNG+COS,11,9,7.0,117,1
COS,12,3,7.0,78,1
WNG,12,3,7.0,78,1
CNT,12,3,7.0,78,1
WNG+COS,12,3,7.0,78,1
COS,12,6,7.0,174,1
WNG,12,6,7.0,174,1
CNT,12,6,7.0,174,1
WNG+COS,12,6,7.0,174,1
COS,12,9,7.0,265,1
WNG,12,9,7.0,265,1
CNT,12,9,7.0,265,1
WNG+COS,12,9,7.0,265,1
COS,13,3,7.0,26,1
WNG,13,3,7.0,26,1
CNT,13,3,7.0,26,1
WNG+COS,13,3,7.0,26,1
COS,13,6,7.0,78,1
WNG,13,6,7.0,78,1
CNT,13,6,7.0,78,1
WNG+COS,13,6,7.0,78,1
COS,13,9,7.0,107,1
WNG,13,9,7.0,107,1
CNT,13,9,7.0,107,1
WNG+COS,13,9,7.0,107,1
COS,14,3,7.0,71,1
WNG,14,3,7.0,71,1
CNT,14,3,7.0,71,1
WNG+COS,14,3,7.0,71,1
COS,14,6,7.0,82,1
WNG,14,6,7.0,82,1
CNT,14,6,7.0,82,1
WNG+COS,14,6,7.0,82,1
COS,14,9,7.0,137,1
WNG,14,9,7.0,137,1
CNT,14,9,7.0,137,1
WNG+COS,14,9,7.0,137,1
COS,15,3,7.0,55,1
WNG,15,3,7.0,55,1
CNT,15,3,7.0,55,1
WNG+COS,15,3,7.0,55,1
COS,15,6,7.0,96,1
WNG,15,6,7.0,96,1
CNT,15,6,7.0,96,1
WNG+COS,15,6,7.0,96,1
COS,15,9,7.0,144,1
WNG,15,9,7.0,144,1
CNT,15,9,7.0,144,1
WNG+COS,15,9,7.0,144,1
COS,16,3,7.0,22,1
WNG,16,3,7.0,22,1
CNT,16,3,7.0,22,1
WNG+COS,16,3,7.0,22,1
COS,16,6,7.0,91,1
WNG,16,6,7.0,91,1
CNT,16,6,7.0,91,1
WNG+COS,16,6,7.0,91,1
COS,16,9,7.0,142,1
WNG,16,9,7.0,142,1
CNT,16,9,7.0,142,1
WNG+COS,16,9,7.0,142,1
COS,17,3,7.0,47,1
WNG,17,3,7.0,47,1
CNT,17,3,7.0,47,1
WNG+COS,17,3,7.0,47,1
COS,17,6,7.0,106,1
WNG,17,6,7.0,106,1
CNT,17,6,7.0,106,1
WNG+COS,17,6,7.0,106,1
COS,17,9,7.0,146,1
WNG,17,9,7.0,146,1
CNT,17,9,7.0,146,1
WNG+COS,17,9,7.0,146,1
COS,18,3,7.0,36,1
WNG,18,3,7.0,36,1
CNT,18,3,7.0,36,1
WNG+COS,18,3,7.0,36,1
COS,18,6,7.0,50,1
WNG,18,6,7.0,50,1
CNT,18,6,7.0,50,1
WNG+COS,18,6,7.0,50,1
COS,18,9,7.0,174,1
WNG,18,9,7.0,174,1
CNT,18,9,7.0,174,1
WNG+COS,18,9,7.0,174,1
COS,19,3,7.0,51,1
WNG,19,3,7.0,51,1
CNT,19,3,7.0,51,1
WNG+COS,19,3,7.0,51,1
COS,19,6,7.0,121,1
WNG,19,6,7.0,121,1
CNT,19,6,7.0,121,1
WNG+COS,19,6,7.0,121,1
COS,19,9,7.0,160,1
WNG,19,9,7.0,160,1
CNT,19,9,7.0,160,1
WNG+COS,19,9,7.0,160,1
COS,20,3,7.0,23,1
WNG,20,3,7.0,23,1
