methd,query_idx,size,tau,payload_size,correct
COS,14,3,0.0,731,1
WNG,14,3,0.0,731,1
CNT,14,3,0.0,731,1
WNG+COS,14,3,0.0,731,1
COS,14,6,0.0,674,1
WNG,14,6,0.0,674,1
CNT,14,6,0.0,674,1
WNG+COS,14,6,0.0,674,1
COS,14,9,0.0,863,1
WNG,14,9,0.0,863,1
CNT,14,9,0.0,863,1
WNG+COS,14,9,0.0,863,1
COS,15,3,0.0,742,1
WNG,15,3,0.0,742,1
CNT,15,3,0.0,742,1
WNG+COS,15,3,0.0,742,1
COS,15,6,0.0,925,1
WNG,15,6,0.0,925,1
CNT,15,6,0.0,925,1
WNG+COS,15,6,0.0,925,1
COS,15,9,0.0,942,1
WNG,15,9,0.0,942,1
CNT,15,9,0.0,942,1
WNG+COS,15,9,0.0,942,1
COS,16,3,0.0,880,1
WNG,16,3,0.0,880,1
CNT,16,3,0.0,880,1
WNG+COS,16,3,0.0,880,1
COS,16,6,0.0,925,1
WNG,16,6,0.0,925,1
CNT,16,6,0.0,925,1
WNG+COS,16,6,0.0,925,1
COS,16,9,0.0,950,1
WNG,16,9,0.0,950,1
CNT,16,9,0.0,950,1
WNG+COS,16,9,0.0,950,1
COS,17,3,0.0,783,1
WNG,17,3,0.0,783,1
CNT,17,3,0.0,783,1
WNG+COS,17,3,0.0,783,1
COS,17,6,0.0,854,1
WNG,17,6,0.0,854,1
CNT,17,6,0.0,854,1
WNG+COS,17,6,0.0,854,1
COS,17,9,0.0,910,1
WNG,17,9,0.0,910,1
CNT,17,9,0.0,910,1
WNG+COS,17,9,0.0,910,1
COS,18,3,0.0,523,1
WNG,18,3,0.0,523,1
CNT,18,3,0.0,523,1
WNG+COS,18,3,0.0,523,1
COS,18,6,0.0,524,1
WNG,18,6,0.0,524,1
CNT,18,6,0.0,524,1
WNG+COS,18,6,0.0,524,1
COS,18,9,0.0,207,1
WNG,18,9,0.0,207,1
CNT,18,9,0.0,207,1
WNG+COS,18,9,0.0,207,1
COS,19,3,0.0,857,1
WNG,19,3,0.0,857,1
CNT,19,3,0.0,857,1
WNG+COS,19,3,0.0,857,1
COS,19,6,0.0,918,1
WNG,19,6,0.0,918,1
CNT,19,6,0.0,918,1
WNG+COS,19,6,0.0,918,1
COS,19,9,0.0,951,1
WNG,19,9,0.0,951,1
CNT,19,9,0.0,951,1
WNG+COS,19,9,0.0,951,1
COS,20,3,0.0,854,1
WNG,20,3,0.0,854,1
CNT,20,3,0.0,854,1
WNG+COS,20,3,0.0,854,1
COS,20,6,0.0,925,1
WNG,20,6,0.0,925,1
CNT,20,6,0.0,925,1
WNG+COS,20,6,0.0,925,1
COS,20,9,0.0,948,1
WNG,20,9,0.0,948,1
CNT,20,9,0.0,948,1
WNG+COS,20,9,0.0,948,1
COS,21,3,0.0,888,1
WNG,21,3,0.0,888,1
CNT,21,3,0.0,888,1
WNG+COS,21,3,0.0,888,1
COS,21,6,0.0,91,1
WNG,21,6,0.0,91,1
CNT,21,6,0.0,91,1
WNG+COS,21,6,0.0,91,1
COS,21,9,0.0,944,1
WNG,21,9,0.0,944,1
CNT,21,9,0.0,944,1
WNG+COS,21,9,0.0,944,1
COS,22,3,0.0,704,1
WNG,22,3,0.0,704,1
CNT,22,3,0.0,704,1
WNG+COS,22,3,0.0,704,1
COS,22,6,0.0,919,1
WNG,22,6,0.0,919,1
CNT,22,6,0.0,919,1
WNG+COS,22,6,0.0,919,1
COS,22,9,0.0,925,1
WNG,22,9,0.0,925,1
CNT,22,9,0.0,925,1
WNG+COS,22,9,0.0,925,1
COS,23,3,0.0,95,1
WNG,23,3,0.0,95,1
CNT,23,3,0.0,95,1
WNG+COS,23,3,0.0,95,1
COS,23,6,0.0,873,1
WNG,23,6,0.0,873,1
CNT,23,6,0.0,873,1
WNG+COS,23,6,0.0,873,1
COS,23,9,0.0,759,1
WNG,23,9,0.0,759,1
CNT,23,9,0.0,759,1
WNG+COS,23,9,0.0,759,1
COS,24,3,0.0,666,1
WNG,24,3,0.0,666,1
CNT,24,3,0.0,666,1
WNG+COS,24,3,0.0,666,1
COS,24,6,0.0,616,1
WNG,24,6,0.0,616,1
CNT,24,6,0.0,616,1
WNG+COS,24,6,0.0,616,1
COS,24,9,0.0,853,1
WNG,24,9,0.0,853,1
CNT,24,9,0.0,853,1
WNG+COS,24,9,0.0,853,1
COS,25,3,0.0,41,1
WNG,25,3,0.0,41,1
CNT,25,3,0.0,41,1
WNG+COS,25,3,0.0,41,1
COS,25,6,0.0,163,1
WNG,25,6,0.0,163,1
CNT,25,6,0.0,163,1
WNG+COS,25,6,0.0,163,1
COS,25,9,0.0,116,1
WNG,25,9,0.0,116,1
CNT,25,9,0.0,116,1
WNG+COS,25,9,0.0,116,1
COS,26,3,0.0,744,1
WNG,26,3,0.0,744,1
CNT,26,3,0.0,744,1
WNG+COS,26,3,0.0,744,1
COS,26,6,0.0,889,1
WNG,26,6,0.0,889,1
CNT,26,6,0.0,889,1
WNG+COS,26,6,0.0,889,1
COS,26,9,0.0,936,1
WNG,26,9,0.0,936,1
CNT,26,9,0.0,936,1
WNG+COS,26,9,0.0,936,1
COS,27,3,0.0,679,1
WNG,27,3,0.0,679,1
CNT,27,3,0.0,679,1
WNG+COS,27,3,0.0,679,1
COS,27,6,0.0,942,1
WNG,27,6,0.0,942,1
CNT,27,6,0.0,942,1
WNG+COS,27,6,0.0,942,1
COS,27,9,0.0,953,1
WNG,27,9,0.0,953,1
CNT,27,9,0.0,953,1
WNG+COS,27,9,0.0,953,1
COS,28,3,0.0,762,1
WNG,28,3,0.0,762,1
CNT,28,3,0.0,762,1
WNG+COS,28,3,0.0,762,1
