methd,query_idx,size,tau,payload_size,correct
COS,0,3,5.5,83,1
WNG,0,3,5.5,83,1
CNT,0,3,5.5,83,0
WNG+COS,0,3,5.5,83,1
COS,0,6,5.5,114,1
WNG,0,6,5.5,114,1
CNT,0,6,5.5,114,0
WNG+COS,0,6,5.5,114,1
COS,0,9,5.5,65,1
WNG,0,9,5.5,65,1
CNT,0,9,5.5,65,1
WNG+COS,0,9,5.5,65,1
COS,1,3,5.5,18,1
WNG,1,3,5.5,18,1
CNT,1,3,5.5,18,1
WNG+COS,1,3,5.5,18,1
COS,1,6,5.5,60,1
WNG,1,6,5.5,60,1
CNT,1,6,5.5,60,1
WNG+COS,1,6,5.5,60,1
COS,1,9,5.5,66,1
WNG,1,9,5.5,66,1
CNT,1,9,5.5,66,1
WNG+COS,1,9,5.5,66,1
COS,2,3,5.5,53,1
WNG,2,3,5.5,53,1
CNT,2,3,5.5,53,1
WNG+COS,2,3,5.5,53,1
COS,2,6,5.5,276,1
WNG,2,6,5.5,276,1
CNT,2,6,5.5,276,1
WNG+COS,2,6,5.5,276,1
COS,2,9,5.5,95,1
WNG,2,9,5.5,95,1
CNT,2,9,5.5,95,1
WNG+COS,2,9,5.5,95,1
COS,3,3,5.5,72,1
WNG,3,3,5.5,72,1
CNT,3,3,5.5,72,1
WNG+COS,3,3,5.5,72,1
COS,3,6,5.5,62,1
WNG,3,6,5.5,62,1
CNT,3,6,5.5,62,1
WNG+COS,3,6,5.5,62,1
COS,3,9,5.5,139,0
WNG,3,9,5.5,139,1
CNT,3,9,5.5,139,0
WNG+COS,3,9,5.5,139,1
COS,4,3,5.5,25,1
WNG,4,3,5.5,25,1
CNT,4,3,5.5,25,1
WNG+COS,4,3,5.5,25,1
COS,4,6,5.5,85,1
WNG,4,6,5.5,85,1
CNT,4,6,5.5,85,1
WNG+COS,4,6,5.5,85,1
COS,4,9,5.5,116,1
WNG,4,9,5.5,116,1
CNT,4,9,5.5,116,0
WNG+COS,4,9,5.5,116,1
COS,5,3,5.5,29,1
WNG,5,3,5.5,29,1
CNT,5,3,5.5,29,1
WNG+COS,5,3,5.5,29,1
COS,5,6,5.5,48,1
WNG,5,6,5.5,48,1
CNT,5,6,5.5,48,1
WNG+COS,5,6,5.5,48,1
COS,5,9,5.5,91,1
WNG,5,9,5.5,91,1
CNT,5,9,5.5,91,1
WNG+COS,5,9,5.5,91,1
COS,6,3,5.5,41,1
WNG,6,3,5.5,41,1
CNT,6,3,5.5,41,1
WNG+COS,6,3,5.5,41,1
COS,6,6,5.5,94,1
WNG,6,6,5.5,94,1
CNT,6,6,5.5,94,1
WNG+COS,6,6,5.5,94,1
COS,6,9,5.5,136,1
WNG,6,9,5.5,136,1
CNT,6,9,5.5,136,1
WNG+COS,6,9,5.5,136,1
COS,7,3,5.5,14,1
WNG,7,3,5.5,14,1
CNT,7,3,5.5,14,1
WNG+COS,7,3,5.5,14,1
COS,7,6,5.5,53,1
WNG,7,6,5.5,53,1
CNT,7,6,5.5,53,1
WNG+COS,7,6,5.5,53,1
COS,7,9,5.5,128,1
WNG,7,9,5.5,128,1
CNT,7,9,5.5,128,0
WNG+COS,7,9,5.5,128,1
COS,8,3,5.5,42,1
WNG,8,3,5.5,42,1
CNT,8,3,5.5,42,1
WNG+COS,8,3,5.5,42,1
COS,8,6,5.5,69,1
WNG,8,6,5.5,69,1
CNT,8,6,5.5,69,1
WNG+COS,8,6,5.5,69,1
COS,8,9,5.5,58,1
WNG,8,9,5.5,58,1
CNT,8,9,5.5,58,1
WNG+COS,8,9,5.5,58,1
COS,9,3,5.5,22,1
WNG,9,3,5.5,22,1
CNT,9,3,5.5,22,1
WNG+COS,9,3,5.5,22,1
COS,9,6,5.5,212,1
WNG,9,6,5.5,212,1
CNT,9,6,5.5,212,1
WNG+COS,9,6,5.5,212,1
COS,9,9,5.5,184,1
WNG,9,9,5.5,184,1
CNT,9,9,5.5,184,1
WNG+COS,9,9,5.5,184,1
COS,10,3,5.5,11,1
WNG,10,3,5.5,11,1
CNT,10,3,5.5,11,1
WNG+COS,10,3,5.5,11,1
COS,10,6,5.5,73,1
WNG,10,6,5.5,73,1
CNT,10,6,5.5,73,1
WNG+COS,10,6,5.5,73,1
COS,10,9,5.5,56,1
WNG,10,9,5.5,56,1
CNT,10,9,5.5,56,1
WNG+COS,10,9,5.5,56,1
COS,11,3,5.5,17,1
WNG,11,3,5.5,17,1
CNT,11,3,5.5,17,1
WNG+COS,11,3,5.5,17,1
COS,11,6,5.5,79,1
WNG,11,6,5.5,79,1
CNT,11,6,5.5,79,1
WNG+COS,11,6,5.5,79,1
COS,11,9,5.5,58,1
WNG,11,9,5.5,58,1
CNT,11,9,5.5,58,1
WNG+COS,11,9,5.5,58,1
