methd,query_idx,size,tau,payload_size,correct
COS,12,3,5.5,49,1
WNG,12,3,5.5,49,1
CNT,12,3,5.5,49,1
WNG+COS,12,3,5.5,49,1
COS,12,6,5.5,51,1
WNG,12,6,5.5,51,1
CNT,12,6,5.5,51,1
WNG+COS,12,6,5.5,51,1
COS,12,9,5.5,78,1
WNG,12,9,5.5,78,1
CNT,12,9,5.5,78,1
WNG+COS,12,9,5.5,78,1
COS,13,3,5.5,23,1
WNG,13,3,5.5,23,1
CNT,13,3,5.5,23,1
WNG+COS,13,3,5.5,23,1
COS,13,6,5.5,112,1
WNG,13,6,5.5,112,1
CNT,13,6,5.5,112,0
WNG+COS,13,6,5.5,112,1
COS,13,9,5.5,248,1
WNG,13,9,5.5,248,1
CNT,13,9,5.5,248,1
WNG+COS,13,9,5.5,248,1
COS,14,3,5.5,56,1
WNG,14,3,5.5,56,1
CNT,14,3,5.5,56,1
WNG+COS,14,3,5.5,56,1
COS,14,6,5.5,40,1
WNG,14,6,5.5,40,1
CNT,14,6,5.5,40,1
WNG+COS,14,6,5.5,40,1
COS,14,9,5.5,146,1
WNG,14,9,5.5,146,1
CNT,14,9,5.5,146,1
WNG+COS,14,9,5.5,146,1
COS,15,3,5.5,47,1
WNG,15,3,5.5,47,1
CNT,15,3,5.5,47,1
WNG+COS,15,3,5.5,47,1
COS,15,6,5.5,71,1
WNG,15,6,5.5,71,1
CNT,15,6,5.5,71,1
WNG+COS,15,6,5.5,71,1
COS,15,9,5.5,106,1
WNG,15,9,5.5,106,1
CNT,15,9,5.5,106,1
WNG+COS,15,9,5.5,106,1
COS,16,3,5.5,24,1
WNG,16,3,5.5,24,1
CNT,16,3,5.5,24,0
WNG+COS,16,3,5.5,24,1
COS,16,6,5.5,125,1
WNG,16,6,5.5,125,1
CNT,16,6,5.5,125,0
WNG+COS,16,6,5.5,125,1
COS,16,9,5.5,113,1
WNG,16,9,5.5,113,1
CNT,16,9,5.5,113,1
WNG+COS,16,9,5.5,113,1
COS,17,3,5.5,49,1
WNG,17,3,5.5,49,1
CNT,17,3,5.5,49,1
WNG+COS,17,3,5.5,49,1
COS,17,6,5.5,52,1
WNG,17,6,5.5,52,1
CNT,17,6,5.5,52,1
WNG+COS,17,6,5.5,52,1
COS,17,9,5.5,29,1
WNG,17,9,5.5,29,1
CNT,17,9,5.5,29,1
WNG+COS,17,9,5.5,29,1
COS,18,3,5.5,17,1
WNG,18,3,5.5,17,1
CNT,18,3,5.5,17,1
WNG+COS,18,3,5.5,17,1
COS,18,6,5.5,48,1
WNG,18,6,5.5,48,1
CNT,18,6,5.5,48,1
WNG+COS,18,6,5.5,48,1
COS,18,9,5.5,73,1
WNG,18,9,5.5,73,1
CNT,18,9,5.5,73,1
WNG+COS,18,9,5.5,73,1
COS,19,3,5.5,14,1
WNG,19,3,5.5,14,1
CNT,19,3,5.5,14,1
WNG+COS,19,3,5.5,14,1
COS,19,6,5.5,48,1
WNG,19,6,5.5,48,1
CNT,19,6,5.5,48,1
WNG+COS,19,6,5.5,48,1
COS,19,9,5.5,94,0
WNG,19,9,5.5,94,0
CNT,19,9,5.5,94,0
WNG+COS,19,9,5.5,94,0
COS,20,3,5.5,120,0
WNG,20,3,5.5,120,1
CNT,20,3,5.5,120,0
WNG+COS,20,3,5.5,120,1
COS,20,6,5.5,147,1
WNG,20,6,5.5,147,1
CNT,20,6,5.5,147,0
WNG+COS,20,6,5.5,147,1
COS,20,9,5.5,118,1
WNG,20,9,5.5,118,1
CNT,20,9,5.5,118,1
WNG+COS,20,9,5.5,118,1
COS,21,3,5.5,10,1
WNG,21,3,5.5,10,1
CNT,21,3,5.5,10,1
WNG+COS,21,3,5.5,10,1
COS,21,6,5.5,77,1
WNG,21,6,5.5,77,1
CNT,21,6,5.5,77,1
WNG+COS,21,6,5.5,77,1
COS,21,9,5.5,227,1
WNG,21,9,5.5,227,1
CNT,21,9,5.5,227,0
WNG+COS,21,9,5.5,227,1
COS,22,3,5.5,27,1
WNG,22,3,5.5,27,1
CNT,22,3,5.5,27,1
WNG+COS,22,3,5.5,27,1
COS,22,6,5.5,53,1
WNG,22,6,5.5,53,1
CNT,22,6,5.5,53,1
WNG+COS,22,6,5.5,53,1
COS,22,9,5.5,44,1
WNG,22,9,5.5,44,1
CNT,22,9,5.5,44,1
WNG+COS,22,9,5.5,44,1
COS,23,3,5.5,63,1
WNG,23,3,5.5,63,1
CNT,23,3,5.5,63,0
WNG+COS,23,3,5.5,63,1
COS,23,6,5.5,72,1
WNG,23,6,5.5,72,1
CNT,23,6,5.5,72,1
WNG+COS,23,6,5.5,72,1
COS,23,9,5.5,113,1
WNG,23,9,5.5,113,1
CNT,23,9,5.5,113,1
WNG+COS,23,9,5.5,113,1
COS,24,3,5.5,50,1
WNG,24,3,5.5,50,1
CNT,24,3,5.5,50,1
WNG+COS,24,3,5.5,50,1
COS,24,6,5.5,29,1
WNG,24,6,5.5,29,1
CNT,24,6,5.5,29,1
WNG+COS,24,6,5.5,29,1
COS,24,9,5.5,52,1
WNG,24,9,5.5,52,1
CNT,24,9,5.5,52,1
WNG+COS,24,9,5.5,52,1
COS,25,3,5.5,19,1
WNG,25,3,5.5,19,1
CNT,25,3,5.5,19,1
WNG+COS,25,3,5.5,19,1
COS,25,6,5.5,64,1
WNG,25,6,5.5,64,1
CNT,25,6,5.5,64,1
WNG+COS,25,6,5.5,64,1
COS,25,9,5.5,104,1
WNG,25,9,5.5,104,1
CNT,25,9,5.5,104,1
WNG+COS,25,9,5.5,104,1
COS,26,3,5.5,44,1
WNG,26,3,5.5,44,1
CNT,26,3,5.5,44,1
WNG+COS,26,3,5.5,44,1
COS,26,6,5.5,78,1
WNG,26,6,5.5,78,1
CNT,26,6,5.5,78,1
WNG+COS,26,6,5.5,78,1
COS,26,9,5.5,156,1
WNG,26,9,5.5,156,1
CNT,26,9,5.5,156,1
WNG+COS,26,9,5.5,156,1
COS,27,3,5.5,29,1
WNG,27,3,5.5,29,1
CNT,27,3,5.5,29,1
WNG+COS,27,3,5.5,29,1
COS,27,6,5.5,58,1
WNG,27,6,5.5,58,1
CNT,27,6,5.5,58,1
WNG+COS,27,6,5.5,58,1
COS,27,9,5.5,87,1
WNG,27,9,5.5,87,1
CNT,27,9,5.5,87,1
WNG+COS,27,9,5.5,87,1
COS,28,3,5.5,18,1
WNG,28,3,5.5,18,1
CNT,28,3,5.5,18,1
WNG+COS,28,3,5.5,18,1
COS,28,6,5.5,44,1
WNG,28,6,5.5,44,1
CNT,28,6,5.5,44,1
WNG+COS,28,6,5.5,44,1
COS,28,9,5.5,140,1
WNG,28,9,5.5,140,1
CNT,28,9,5.5,140,0
WNG+COS,28,9,5.5,140,1
COS,29,3,5.5,295,0
WNG,29,3,5.5,295,1
CNT,29,3,5.5,295,0
WNG+COS,29,3,5.5,295,0
COS,29,6,5.5,93,1
WNG,29,6,5.5,93,1
CNT,29,6,5.5,93,1
WNG+COS,29,6,5.5,93,1
COS,29,9,5.5,123,1
WNG,29,9,5.5,123,1
CNT,29,9,5.5,123,1
WNG+COS,29,9,5.5,123,1
COS,30,3,5.5,34,1
WNG,30,3,5.5,34,1
CNT,30,3,5.5,34,1
WNG+COS,30,3,5.5,34,1
COS,30,6,5.5,153,1
WNG,30,6,5.5,153,1
CNT,30,6,5.5,153,1
WNG+COS,30,6,5.5,153,1
COS,30,9,5.5,217,1
WNG,30,9,5.5,217,1
CNT,30,9,5.5,217,1
WNG+COS,30,9,5.5,217,1
COS,31,3,5.5,42,1
WNG,31,3,5.5,42,1
CNT,31,3,5.5,42,1
WNG+COS,31,3,5.5,42,1
COS,31,6,5.5,62,1
WNG,31,6,5.5,62,1
CNT,31,6,5.5,62,1
WNG+COS,31,6,5.5,62,1
COS,31,9,5.5,283,1
WNG,31,9,5.5,283,1
CNT,31,9,5.5,283,0
WNG+COS,31,9,5.5,283,1
COS,32,3,5.5,29,1
WNG,32,3,5.5,29,1
CNT,32,3,5.5,29,1
WNG+COS,32,3,5.5,29,1
COS,32,6,5.5,160,1
WNG,32,6,5.5,160,1
CNT,32,6,5.5,160,0
WNG+COS,32,6,5.5,160,1
COS,32,9,5.5,151,1
WNG,32,9,5.5,151,1
CNT,32,9,5.5,151,1
WNG+COS,32,9,5.5,151,1
COS,33,3,5.5,24,1
WNG,33,3,5.5,24,1
CNT,33,3,5.5,24,1
WNG+COS,33,3,5.5,24,1
COS,33,6,5.5,53,1
WNG,33,6,5.5,53,1
CNT,33,6,5.5,53,1
WNG+COS,33,6,5.5,53,1
COS,33,9,5.5,31,1
WNG,33,9,5.5,31,1
CNT,33,9,5.5,31,1
WNG+COS,33,9,5.5,31,1
COS,34,3,5.5,44,0
WNG,34,3,5.5,44,1
CNT,34,3,5.5,44,0
WNG+COS,34,3,5.5,44,1
COS,34,6,5.5,27,1
WNG,34,6,5.5,27,1
CNT,34,6,5.5,27,1
WNG+COS,34,6,5.5,27,1
COS,34,9,5.5,125,1
WNG,34,9,5.5,125,1
CNT,34,9,5.5,125,1
WNG+COS,34,9,5.5,125,1
COS,35,3,5.5,102,1
WNG,35,3,5.5,102,1
CNT,35,3,5.5,102,0
WNG+COS,35,3,5.5,102,1
COS,35,6,5.5,198,0
WNG,35,6,5.5,198,1
CNT,35,6,5.5,198,0
WNG+COS,35,6,5.5,198,0
COS,35,9,5.5,149,1
WNG,35,9,5.5,149,1
CNT,35,9,5.5,149,0
WNG+COS,35,9,5.5,149,1
COS,36,3,5.5,25,1
WNG,36,3,5.5,25,1
CNT,36,3,5.5,25,1
WNG+COS,36,3,5.5,25,1
COS,36,6,5.5,66,1
WNG,36,6,5.5,66,1
CNT,36,6,5.5,66,1
WNG+COS,36,6,5.5,66,1
COS,36,9,5.5,103,1
WNG,36,9,5.5,103,1
CNT,36,9,5.5,103,1
WNG+COS,36,9,5.5,103,1
COS,37,3,5.5,48,1
WNG,37,3,5.5,48,1
CNT,37,3,5.5,48,1
WNG+COS,37,3,5.5,48,1
COS,37,6,5.5,47,1
WNG,37,6,5.5,47,1
CNT,37,6,5.5,47,1
WNG+COS,37,6,5.5,47,1
COS,37,9,5.5,56,1
WNG,37,9,5.5,56,1
CNT,37,9,5.5,56,1
WNG+COS,37,9,5.5,56,1
COS,38,3,5.5,18,1
WNG,38,3,5.5,18,1
CNT,38,3,5.5,18,1
WNG+COS,38,3,5.5,18,1
COS,38,6,5.5,106,1
WNG,38,6,5.5,106,1
CNT,38,6,5.5,106,1
WNG+COS,38,6,5.5,106,1
COS,38,9,5.5,49,1
WNG,38,9,5.5,49,1
CNT,38,9,5.5,49,1
WNG+COS,38,9,5.5,49,1
COS,39,3,5.5,41,1
WNG,39,3,5.5,41,1
CNT,39,3,5.5,41,1
WNG+COS,39,3,5.5,41,1
COS,39,6,5.5,42,1
WNG,39,6,5.5,42,1
CNT,39,6,5.5,42,1
WNG+COS,39,6,5.5,42,1
COS,39,9,5.5,93,1
WNG,39,9,5.5,93,1
CNT,39,9,5.5,93,1
WNG+COS,39,9,5.5,93,1
